scheme,pad,coarse_face_pad,interface,sigma,cfl,rho,G500,maxRe
E6,3,3,same-level,0.0,0.25,1.000000000000008,1.0000000000000508,3.5388358909926865e-16
E6,3,3,same-level,0.0,0.5,1.0000000000000002,1.000000000000081,3.5388358909926865e-16
E6,3,3,same-level,0.0,1.0,1.0000000000000022,1.0000000000001266,3.5388358909926865e-16
E6,3,3,same-level,0.05,0.25,1.0000000000000029,1.0000170577589473,4.207111737637386e-17
E6,3,3,same-level,0.05,0.5,1.0000000000000009,1.0000028525662343,4.207111737637386e-17
E6,3,3,same-level,0.05,1.0,1.0000000000000013,1.0000007953230472,4.207111737637386e-17
E6,3,3,same-level,0.1,0.25,1.0000000000000018,1.0000494032395055,8.105518117085495e-17
E6,3,3,same-level,0.1,0.5,0.9999999999999938,1.0000082211838903,8.105518117085495e-17
E6,3,3,same-level,0.1,1.0,0.9999999999999997,1.0000031638269056,8.105518117085495e-17
E6,3,3,same-level,0.4,0.25,1.0000000000000022,1.0002782259425202,5.104948876842531e-17
E6,3,3,same-level,0.4,0.5,1.0000000000000016,1.000126814915733,5.104948876842531e-17
E6,3,3,same-level,0.4,1.0,1.0000000000000016,1.0000551974287069,5.104948876842531e-17
E6,3,3,2:1,0.0,0.25,1.002147219870579,8.716795113669416,0.00857967155458827
E6,3,3,2:1,0.0,0.5,1.0042990502943223,30.50819889271934,0.00857967155458827
E6,3,3,2:1,0.0,1.0,1.008616582421714,335.5107476537592,0.00857967155458827
E6,3,3,2:1,0.05,0.25,1.000147088407889,5.897055008904217,0.0006249088669849669
E6,3,3,2:1,0.05,0.5,1.0001059089476292,5.8932328982332916,0.0006249088669849669
E6,3,3,2:1,0.05,1.0,0.9999999999999999,5.89031281191333,0.0006249088669849669
E6,3,3,2:1,0.1,0.25,1.0000382421591736,5.645568708917257,0.00015434060865004984
E6,3,3,2:1,0.1,0.5,1.000055547044324,5.081136091206638,0.00015434060865004984
E6,3,3,2:1,0.1,1.0,0.9999999999999978,5.0740474018480946,0.00015434060865004984
E6,3,3,2:1,0.4,0.25,1.0000079718881958,4.978292307853505,3.2470673398649064e-05
E6,3,3,2:1,0.4,0.5,1.0000070085489066,3.4783059967149006,3.2470673398649064e-05
E6,3,3,2:1,0.4,1.0,1.0000000000000033,3.451209704984193,3.2470673398649064e-05
A6,3,3,same-level,0.0,0.25,1.0000001154059937,47.201268517396855,4.61280039930096e-07
A6,3,3,same-level,0.0,0.5,1.0000002306818487,94.10278534123434,4.61280039930096e-07
A6,3,3,same-level,0.0,1.0,1.0000004613119378,187.9145967955589,4.61280039930096e-07
A6,3,3,same-level,0.05,0.25,1.0000001198078161,8.947415453540291,1.4782316584555089e-06
A6,3,3,same-level,0.05,0.5,1.0000000000023588,8.811873894276157,1.4782316584555089e-06
A6,3,3,same-level,0.05,1.0,1.0000000000047158,8.702556411978048,1.4782316584555089e-06
A6,3,3,same-level,0.1,0.25,1.000000419488542,5.271604854204625,2.6770161940248283e-06
A6,3,3,same-level,0.1,0.5,1.0000000000022171,5.010778648291241,2.6770161940248283e-06
A6,3,3,same-level,0.1,1.0,1.0000000000023628,4.834163505275156,2.6770161940248283e-06
A6,3,3,same-level,0.4,0.25,1.0000002304044455,2.7390749253759865,1.4889619841529367e-06
A6,3,3,same-level,0.4,0.5,1.0000000000112717,2.4671730739011903,1.4889619841529367e-06
A6,3,3,same-level,0.4,1.0,1.0000000000006182,2.121407908200215,1.4889619841529367e-06
A6,3,3,2:1,0.0,0.25,1.0018524511388618,71.07388309534151,0.0074029498690453
A6,3,3,2:1,0.0,0.5,1.0037083338529749,239.7408194662581,0.0074029498690453
A6,3,3,2:1,0.0,1.0,1.0074304194457124,1784.8412923628962,0.0074029498690453
A6,3,3,2:1,0.05,0.25,1.0007035958927686,13.2548037579935,0.002820639092896045
A6,3,3,2:1,0.05,0.5,1.0013017309301806,14.93332587033049,0.002820639092896045
A6,3,3,2:1,0.05,1.0,1.0000000000047093,13.849222596567797,0.002820639092896045
A6,3,3,2:1,0.1,0.25,1.0005278254546994,9.856276695711143,0.002117872122510245
A6,3,3,2:1,0.1,0.5,1.0009508565089056,9.719410347877231,0.002117872122510245
A6,3,3,2:1,0.1,1.0,1.000000000002069,8.369970118673056,0.002117872122510245
A6,3,3,2:1,0.4,0.25,1.0002079354698876,5.594095852852713,0.0008357035231056284
A6,3,3,2:1,0.4,0.5,1.0003551929970462,5.192699101878901,0.0008357035231056284
A6,3,3,2:1,0.4,1.0,1.0000000000025904,4.522006578883883,0.0008357035231056284
A6,4,4,same-level,0.0,0.25,1.000000000000008,19.888526025428046,6.050715484207103e-15
A6,4,4,same-level,0.0,0.5,1.0000000000000027,39.571157022189084,6.050715484207103e-15
A6,4,4,same-level,0.0,1.0,1.0000000000000075,79.02382394011495,6.050715484207103e-15
A6,4,4,same-level,0.05,0.25,1.0000001481459435,3.6917038490934218,5.878644801476929e-06
A6,4,4,same-level,0.05,0.5,0.9999999999998287,3.67231334825371,5.878644801476929e-06
A6,4,4,same-level,0.05,1.0,0.9999999999986632,3.638613830363447,5.878644801476929e-06
A6,4,4,same-level,0.1,0.25,1.000000496425479,2.3148171981694534,1.1709357870925974e-05
A6,4,4,same-level,0.1,0.5,0.9999999999997321,2.220292539134286,1.1709357870925974e-05
A6,4,4,same-level,0.1,1.0,0.999999999999332,2.1644108094977,1.1709357870925974e-05
A6,4,4,same-level,0.4,0.25,1.000005374907036,1.4434207845980533,4.3602261345782045e-05
A6,4,4,same-level,0.4,0.5,0.9999999999999072,1.3343482273986462,4.3602261345782045e-05
A6,4,4,same-level,0.4,1.0,0.9999999999998259,1.2456075473693975,4.3602261345782045e-05
A6,4,4,2:1,0.0,0.25,1.003128814534041,84.21660398832515,0.012495719919089347
A6,4,4,2:1,0.0,0.5,1.0062674185483989,488.59701553891654,0.012495719919089347
A6,4,4,2:1,0.0,1.0,1.0125741176296628,10573.302400149007,0.012495719919089347
A6,4,4,2:1,0.05,0.25,1.0004351223571575,11.78151746974121,0.0017448642275703918
A6,4,4,2:1,0.05,0.5,1.000800036171892,14.341965905766017,0.0017448642275703918
A6,4,4,2:1,0.05,1.0,0.999999999999543,13.511257640130058,0.0017448642275703918
A6,4,4,2:1,0.1,0.25,1.000366161077802,6.632295396156395,0.001469116183477559
A6,4,4,2:1,0.1,0.5,1.0006619982359544,9.176902214941482,0.001469116183477559
A6,4,4,2:1,0.1,1.0,0.9999999999994829,8.551769121817836,0.001469116183477559
A6,4,4,2:1,0.4,0.25,1.0002640830874898,3.722946730250872,0.0010608941713150383
A6,4,4,2:1,0.4,0.5,1.000457966961823,5.544247131750021,0.0010608941713150383
A6,4,4,2:1,0.4,1.0,0.9999999999998983,4.871557595484259,0.0010608941713150383
A6,4,3,same-level,0.0,0.25,1.000000000000008,19.888526025428046,6.050715484207103e-15
A6,4,3,same-level,0.0,0.5,1.0000000000000027,39.571157022189084,6.050715484207103e-15
A6,4,3,same-level,0.0,1.0,1.0000000000000075,79.02382394011495,6.050715484207103e-15
A6,4,3,same-level,0.05,0.25,1.0000001481459435,3.6917038490934218,5.878644801476929e-06
A6,4,3,same-level,0.05,0.5,0.9999999999998287,3.67231334825371,5.878644801476929e-06
A6,4,3,same-level,0.05,1.0,0.9999999999986632,3.638613830363447,5.878644801476929e-06
A6,4,3,same-level,0.1,0.25,1.000000496425479,2.3148171981694534,1.1709357870925974e-05
A6,4,3,same-level,0.1,0.5,0.9999999999997321,2.220292539134286,1.1709357870925974e-05
A6,4,3,same-level,0.1,1.0,0.999999999999332,2.1644108094977,1.1709357870925974e-05
A6,4,3,same-level,0.4,0.25,1.000005374907036,1.4434207845980533,4.3602261345782045e-05
A6,4,3,same-level,0.4,0.5,0.9999999999999072,1.3343482273986462,4.3602261345782045e-05
A6,4,3,same-level,0.4,1.0,0.9999999999998259,1.2456075473693975,4.3602261345782045e-05
A6,4,3,2:1,0.0,0.25,1.0018999975539886,40.323112481567385,0.007592779366806509
A6,4,3,2:1,0.0,0.5,1.0038036050986765,140.85153003570588,0.007592779366806509
A6,4,3,2:1,0.0,1.0,1.0076216776088776,1061.9981490192456,0.007592779366806509
A6,4,3,2:1,0.05,0.25,1.0003735324446126,7.549057137978998,0.0014985761068139203
A6,4,3,2:1,0.05,0.5,1.0006769916050733,9.256370357013987,0.0014985761068139203
A6,4,3,2:1,0.05,1.0,0.9999999999991438,8.789773480227986,0.0014985761068139203
A6,4,3,2:1,0.1,0.25,1.0003419703223138,5.375118756552258,0.0013723703869498172
